Date / Time,Mode,Category,Sub category,Income/Expense,Debit/Credit,Description
2024-04-06,UPI,Food,Snacks,Expense,80,Coffee & cake
2024-04-10,Card,Entertainment,Movies,Expense,250,Movie tickets
2024-04-12,UPI,Entertainment,Subscriptions,Expense,100,Music subscription
2024-04-15,UPI,Transport,Taxi,Expense,150,Evening ride
2024-04-20,Card,Food,Meals,Expense,280,Team lunch
2024-04-25,Bank Transfer,Rent,Home,Expense,9000,Monthly rent
2024-05-03,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-05-05,Card,Food,Drinks,Expense,180,Coffee
2024-05-08,UPI,Transport,Train,Expense,500,Train tickets
2024-05-12,Card,Shopping,Clothes,Expense,450,New dress
2024-05-15,UPI,Food,Dinner,Expense,200,Family dinner
2024-05-18,Card,Entertainment,Movies,Expense,250,Movie tickets
2024-05-22,UPI,Food,Snacks,Expense,90,Evening snack
2024-05-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-06-01,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-06-04,Card,Food,Meals,Expense,260,Group dinner
2024-06-06,UPI,Transport,Taxi,Expense,170,Airport transfer
2024-06-10,Card,Entertainment,Concerts,Expense,300,Concert tickets
2024-06-14,UPI,Shopping,Accessories,Expense,200,New belt
2024-06-18,UPI,Food,Dinner,Expense,220,Dinner outing
2024-06-22,Card,Transport,Taxi,Expense,150,Evening ride
2024-06-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-07-03,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-07-05,Card,Shopping,Shoes,Expense,400,New shoes
2024-07-08,UPI,Food,Meals,Expense,230,Family lunch
2024-07-11,Card,Food,Meals,Expense,180,Team lunch
2024-07-14,UPI,Entertainment,Subscriptions,Expense,120,Streaming subscription
2024-07-18,Card,Transport,Taxi,Expense,160,Taxi ride
2024-07-22,UPI,Food,Snacks,Expense,100,Evening snacks
2024-07-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-08-02,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-08-05,Card,Food,Drinks,Expense,180,Coffee
2024-08-08,UPI,Transport,Train,Expense,500,Train tickets
2024-08-12,Card,Shopping,Clothes,Expense,420,New shirt
2024-08-15,UPI,Food,Dinner,Expense,210,Dinner with friends
2024-08-18,Card,Entertainment,Movies,Expense,250,Movie tickets
2024-08-22,UPI,Food,Snacks,Expense,90,Evening snack
2024-08-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-09-01,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-09-05,Card,Food,Meals,Expense,250,Lunch with team
2024-09-08,UPI,Transport,Taxi,Expense,180,Evening taxi
2024-09-12,Card,Shopping,Accessories,Expense,350,New watch
2024-09-15,UPI,Food,Dinner,Expense,200,Dinner with family
2024-09-18,Card,Entertainment,Concerts,Expense,300,Live concert
2024-09-22,UPI,Food,Snacks,Expense,100,Evening snack
2024-09-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-10-02,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-10-05,Card,Food,Meals,Expense,260,Lunch at cafe
2024-10-08,UPI,Transport,Train,Expense,450,Train ride
2024-10-12,Card,Shopping,Clothes,Expense,400,New jacket
2024-10-15,UPI,Food,Dinner,Expense,220,Dinner with friends
2024-10-18,Card,Entertainment,Movies,Expense,280,Movie tickets
2024-10-22,UPI,Food,Snacks,Expense,110,Evening snack
2024-10-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-11-02,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-11-05,Card,Food,Meals,Expense,270,Lunch at cafe
2024-11-08,UPI,Transport,Taxi,Expense,180,Taxi to office
2024-11-12,Card,Shopping,Accessories,Expense,300,Accessory shopping
2024-11-15,UPI,Food,Dinner,Expense,230,Dinner outing
2024-11-18,Card,Entertainment,Concerts,Expense,320,Concert tickets
2024-11-22,UPI,Food,Snacks,Expense,120,Evening snack
2024-11-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-12-01,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
2024-12-05,Card,Food,Meals,Expense,280,Lunch with friends
2024-12-08,UPI,Transport,Train,Expense,500,Train tickets
2024-12-12,Card,Shopping,Clothes,Expense,450,New dress
2024-12-15,UPI,Food,Dinner,Expense,240,Dinner outing
2024-12-18,Card,Entertainment,Movies,Expense,300,Movie tickets
2024-12-22,UPI,Food,Snacks,Expense,100,Evening snack
2024-12-28,Bank Transfer,Rent,Home,Expense,9500,Monthly rent
